"site","latitude","longitude"
454,45.29,-62.66
455,44.68,-65.78
456,45.37,-63.27
457,44.25,-66.37
458,45.42,-62.67
459,43.86,-64.83
460,45.47,-64.1
461,44.87,-63.62
462,44.65,-63.58
463,47.53,-53.9
464,45.02,-62
465,44.6,-63.52
466,45.52,-62.67
467,43.8,-65.3
468,50.272,-64.15
469,50.5,-63.25
470,50.322,-64.421
471,50.311,-64.497
472,44.764,-92.817
473,44.797,-92.824
474,44.828,-92.944
475,44.847,-92.791
476,44.926,-92.8
477,44.971,-92.903
478,44.981,-92.993
479,45.007,-92.786
480,45.019,-93.146
481,45.074,-93.19
482,45.188,-93.635
483,45.317,-93.581
484,44.68,-71.709
485,44.316,-72.848
486,42.787,-76.094
487,40.73,-77.763
488,46.322,-63.413
489,47.531,-93.469
490,42.519,-74.145
491,41.403,-78.026
492,43.777,-73.966
493,35.745,-82.278
494,42.888,-72.862
495,43.414,-72.706
496,44.374,-68.071
497,44.127,-68.351
498,46.082,-89.821
499,44.156,-68.666
500,44.003,-71.42
501,43.078,-70.837
502,43.085,-70.837
503,33.539,-83.363
504,39.486,-77.807
505,42.053,-71.817
506,42.199,-73.256
507,42.242,-73.282
508,42.315,-71.01
509,42.335,-73.175
510,42.455,-71.304
511,42.496,-71.626
512,42.614,-71.962
513,42.677,-71.673
514,42.735,-70.791
515,42.744,-70.796
516,42.832,-71.512
517,43.791,-71.018
518,44.01,-71.268
519,45.006,-68.64
520,46.134,-69.137
521,44.374,-71.521
522,42.181,-73.365
523,42.693,-71.592
524,42.745,-70.827
525,42.767,-70.917
526,43.09,-70.852
527,43.678,-70.857
528,44.345,-71.22
529,44.433,-71.32
530,42.711,-70.78
531,44.367,-71.553
532,44.485,-71.338
533,29.275,-81.709
534,32.481,-83.572
535,33.407,-83.475
536,33.659,-83.293
537,33.902,-83.382
538,39.247,-84.276
539,41.81,-72.68
540,41.866,-70.685
541,41.943,-70.863
542,41.962,-73.267
543,42.015,-71.766
544,42.032,-72.745
545,42.067,-73.211
546,42.119,-73.182
547,42.182,-73.269
548,42.194,-73.259
549,42.258,-70.873
550,42.312,-70.953
551,42.315,-71.034
552,42.317,-70.968
553,42.329,-70.927
554,42.333,-70.896
555,42.459,-72.641
556,42.51,-72.212
557,42.546,-72.09
558,42.586,-71.586
559,42.596,-72.037
560,42.601,-73.2
561,42.604,-71.564
562,42.628,-71.523
563,42.641,-71.528
564,42.66,-71.707
565,42.661,-71.562
566,42.682,-71.746
567,42.683,-71.908
568,42.684,-71.64
569,42.689,-71.552
570,42.697,-71.893
571,42.705,-71.928
572,42.707,-71.924
573,42.722,-71.607
574,42.738,-70.792
575,42.743,-70.792
576,44.008,-71.413
577,44.062,-71.659
578,44.096,-71.809
579,44.208,-69.828
580,44.253,-71.5
581,44.285,-72.576
582,44.311,-72.573
583,44.438,-71.307
584,44.777,-71.75
585,44.824,-71.254
586,44.828,-71.112
587,45.261,-68.219
588,45.516,-68.337
589,45.52,-68.222
590,44.938,-71.329
591,42.281,-70.899
592,42.581,-71.607
593,43.944,-71.701
594,43.29,-79.938
595,43.289,-79.938
596,46.141,-63.272
597,46.188,-63.235
598,46.212,-63.463
599,46.218,-63.263
600,46.163,-63.229
601,46.196,-63.249
602,43.284,-79.94
603,43.286,-79.939
604,43.288,-79.937
605,28.538,-81.379
606,37.718,-88.865
607,39.556,-88.246
608,35.639,-78.48
609,35.249,-78.493
610,36.073,-79.79
611,35.231,-80.846
612,35.649,-82.231
613,35.772,-78.639
614,35.693,-82.385
615,35.427,-82.557
616,35.216,-78.508
617,35.365,-80.081
618,35.613,-77.366
619,34.929,-77.083
620,33.922,-78.02
621,35.899,-80.557
622,34.734,-78.64
623,34.707,-78.554
624,35.729,-78.806
625,35.439,-80.049
626,35.664,-78.547
627,36.376,-77.056
628,35.559,-77.424
629,35.195,-78.487
630,34.92,-78.384
631,34.517,-77.837
632,35.78,-78.643
633,34.755,-77.426
634,35.513,-77.1
635,34.8,-78.58
636,35.507,-78.741
637,35.977,-78.907
638,35.698,-79.29
639,35.791,-78.781
640,35.461,-76.918
641,35.606,-77.374
642,35.12,-83.336
643,36.107,-82.104
644,35.263,-80.854
645,35.053,-83.197
646,35.3,-82.626
647,35.761,-78.626
648,35.334,-81.865
649,36.017,-82.199
650,36.336,-81.56
651,36.264,-82.128
652,36.705,-81.444
653,37.117,-75.97
654,36.702,-81.441
655,38.946,-77.384
656,35.944,-77.208
657,38.561,-79.01
658,39.226,-75.995
659,44.306,-73.245
660,41.47,-72.874
661,42.011,-73.276
662,41.53,-72.334
663,44.436,-67.911
664,41.588,-71.868
665,41.831,-70.661
666,41.972,-73.162
667,44.429,-67.901
668,44.424,-67.893
669,43.962,-80.399
670,41.42,-72.67
671,41.268,-72.658
672,41.428,-72.836
673,42.02,-73.467
674,41.996,-72.359
675,41.478,-72.265
676,41.58,-71.862
677,42.001,-72.834
678,41.115,-73.331
679,42.027,-73.159
680,41.19,-73.372
681,41.406,-72.906
682,41.326,-72.728
683,42.002,-72.972
684,41.973,-73.273
685,41.574,-73.053
686,41.967,-73.162
687,41.444,-72.582
688,41.406,-72.905
689,44.787,-68.815
690,42.06,-73.325
691,41.976,-73.357
692,42.513,-72.686
693,42.885,-72.545
694,44.53,-68.401
695,42.143,-84.016
696,42.096,-84.101
697,42.702,-83.398
698,41.343,-72.763
699,42.326,-72.728
700,41.925,-72.886
701,40.927,-74.96
702,41.75,-70.748
703,41.063,-75.36
704,41.086,-75.583
705,41.531,-72.727
706,44.648,-67.708
707,44.433,-67.909
708,44.396,-69.784
709,42.895,-72.986
710,42.846,-72.99
711,41.335,-72.913
712,41.331,-72.92
713,41.692,-71.82
714,41.408,-72.902
715,41.812,-72.071
716,41.661,-72.275
717,41.799,-72.068
718,41.417,-70.936
719,41.451,-70.922
720,41.471,-71.514
721,41.959,-73.202
722,49.014,-55.646
723,49.014,-55.645
724,49.02,-55.644
725,49.02,-55.645
726,49.008,-55.633
727,43.702,-72.29
728,43.718,-72.268
729,43.543,-72.838
730,39.533,-74.687
731,40.058,-74.11
732,39.505,-74.613
733,39.516,-74.543
734,39.34,-74.575
735,39.328,-74.504
736,39.936,-74.909
737,40.265,-75.804
738,39.467,-74.548
739,39.491,-74.532
740,39.29,-74.754
741,39.579,-75.092
742,37.46,-79.208
743,42.407,-85.401
744,42.304,-71.123
745,42.154,-88.136
746,44.267,-72.573
747,44.353,-68.201
748,44.057,-73.289
749,44.686,-72.34
750,43.112,-72.613
751,44.195,-72.499
752,44.199,-72.494
753,44.197,-72.501
754,44.195,-72.494
755,44.16,-72.447
756,44.223,-72.503
757,44.248,-72.435
758,44.231,-72.457
759,44.204,-72.474
760,44.235,-72.516
761,44.202,-72.455
762,44.748,-72.176
763,44.751,-72.167
764,42.853,-73.173
765,42.884,-73.21
766,42.857,-72.602
767,42.832,-72.561
768,42.885,-72.557
769,44.451,-73.227
770,44.444,-73.229
771,44.477,-73.211
772,44.481,-73.193
773,45.01,-71.605
774,44.278,-73.282
775,44.278,-73.216
776,34.01,-81.074
777,44.049,-72.201
778,44.053,-72.192
779,44.684,-72.362
780,44.642,-72.369
781,44.948,-72.134
782,44.264,-72.497
783,44.676,-72.517
784,44.919,-72.765
785,41.598,-70.835
786,44.182,-73.361
787,44.693,-72.29
788,44.317,-72.296
789,43.936,-72.96
790,43.53,-72.391
791,44.209,-73.036
792,43.691,-73.223
793,44.331,-72.948
794,44.939,-72.485
795,44.941,-72.467
796,44.453,-72.945
797,44.653,-72.741
798,43.218,-72.766
799,44.297,-72.395
800,44.315,-72.32
801,44.34,-72.372
802,44.356,-72.394
803,44.611,-73.212
804,44.273,-72.555
805,44.262,-72.575
806,44.287,-72.576
807,44.264,-72.57
808,44.262,-72.577
809,44.614,-72.502
810,44.576,-72.586
811,45.005,-71.798
812,44.995,-71.811
813,43.386,-73.212
814,41.958,-70.662
815,42.797,-73.264
816,42.063,-70.188
817,42.967,-72.523
818,43.185,-72.447
819,43.186,-72.452
820,43.826,-72.401
821,44.438,-73.177
822,43.298,-72.484
823,43.276,-72.413
824,43.261,-72.431
825,44.662,-72.071
826,44.921,-73.16
827,44.998,-72.401
828,43.875,-72.467
829,44.575,-72.922
830,44.192,-73.34
831,42.758,-72.5
832,44.528,-71.815
833,44.475,-72.189
834,44.122,-72.842
835,38.889,-77.025
836,38.89,-77.035
837,44.332,-72.753
838,44.333,-72.731
839,41.359,-72.173
840,41.363,-72.182
841,41.883,-69.995
842,43.663,-73.395
843,44.78,-72.08
844,44.582,-72.198
845,44.426,-69.006
846,44.409,-68.248
847,43.339,-70.625
848,43.478,-70.565
849,43.514,-70.434
850,44.54,-68.443
851,41.672,-70.849
852,41.699,-70.111
853,44.907,-67.197
854,42.328,-72.747
855,42.293,-72.776
856,42.297,-72.786
857,43.643,-72.524
858,43.974,-80.724
859,43.718,-80.257
860,44.67,-75.896
861,43.471,-80.152
862,47.425,-84.484
863,48.587,-93.49
864,43.201,-79.815
865,45.493,-78.771
866,45.603,-78.403
867,45.575,-78.504
868,45.767,-78.501
869,45.469,-78.653
870,45.619,-78.856
871,45.501,-78.388
872,45.822,-78.759
873,45.586,-77.956
874,45.858,-77.751
875,45.559,-78.577
876,45.565,-78.568
877,45.582,-78.392
878,44.133,-76.717
879,44.146,-76.789
880,42.851,-79.552
881,44.752,-78.085
882,43.572,-80.36
883,43.536,-80.167
884,43.668,-81.018
885,42.77,-80.976
886,44.387,-79.687
887,44.889,-79.805
888,44.167,-77.384
889,44.166,-77.454
890,44.19,-76.381
891,43.785,-80.307
892,43.375,-80.374
893,44.487,-80.304
894,48.8,-94.575
895,43.906,-78.675
896,43.826,-79.603
897,44.108,-79.559
898,43.685,-79.756
899,43.685,-79.367
900,44.038,-77.735
901,44.03,-77.777
902,44.592,-75.68
903,44.583,-75.683
904,45.191,-81.578
905,45.211,-81.556
906,45.213,-81.49
