"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_170841","griseocollis","Male","Male",45.2128,-81.4895,2007,198,"Sheila Colla","45.213, -81.49",1844.476477,317.9677273,265.533720930233,2024.04,-1.190399074,0.495635037726607
"BBNA_171018","griseocollis","Male","Male",43.6178,-79.3835,1985,184,"","43.618, -79.383",2484.071136,297.6975,174.132558139535,2403.535,-0.476809471,0.0117025116658937
"BBNA_171019","griseocollis","Male","Male",43.6178,-79.3835,1985,211,"","43.618, -79.383",2484.071136,297.6975,174.132558139535,2403.535,-0.476809471,0.0117025116658937
"BBNA_171489","griseocollis","Male","Male",43.8722,-78.775,1997,236,"G.Vogg","43.872, -78.775",2244.339432,322.6318182,190.957674418605,1956.29,0.332694701,2.34668376922684
"BBNA_171527","griseocollis","Male","Male",45.1873,-81.5897,2004,236,"S.A.Marshall","45.187, -81.59",1884.720227,301.1722727,251.599069767442,1784.19,-2.036607942,-0.648755330866975
"BBNA_171600","griseocollis","Male","Male",45.2518,-81.6587,2004,238,"S.A.Marshall","45.252, -81.659",1854.750682,304.2990909,249.018837209302,1748.515,-1.691810583,-0.657053490001523
"BBNA_171610","griseocollis","Male","Male",45.2518,-81.6587,2005,244,"S.A.Marshall","45.252, -81.659",1854.750682,304.2990909,249.018837209302,2081.97,0.822316834,0.485124247819432
"BBNA_172075","griseocollis","Male","Male",43.35,-81.483,2005,208,"Sheila Colla","43.35, -81.483",2234.300795,366.3488636,257.147906976744,2494.465,-0.131319279,1.13665405047028
"BBNA_173242","griseocollis","Female","Queen",43.55,-80.25,1986,222,"M.Spafford","43.55, -80.25",2073.060341,360.4034091,216.191860465116,1978.78,2.484929175,-1.2938297020931
"BBNA_173264","griseocollis","Female","Queen",43.55,-80.25,1987,214,"T.Haagsaa","43.55, -80.25",2073.060341,360.4034091,216.191860465116,2133.78,0.327577405,-1.19490007309727
"BBNA_173304","griseocollis","Male","Male",43.55,-80.25,1993,193,"","43.55, -80.25",2073.060341,360.4034091,216.191860465116,1863.68,0.299490952,0.382752295230585
"BBNA_173425","griseocollis","Female","Queen",43.55,-80.25,2006,201,"","43.55, -80.25",2073.060341,360.4034091,216.191860465116,2085.8,0.698798871,1.60063169886477
"BBNA_173890","griseocollis","Female","Queen",44.076,-80.7603,2007,150,"","44.076, -80.76",1935.009091,395.7288636,281.374186046512,2116.42,-1.844322359,1.43462462612861
"BBNA_173973","griseocollis","Female","Queen",44.2987,-81.5944,2003,179,"S.A.Marshall","44.299, -81.594",2086.234659,349.1684091,312.492558139535,2033.725,0.561034318,0.438808933920399
"BBNA_173976","griseocollis","Male","Male",44.2987,-81.5944,2003,234,"M.Buck","44.299, -81.594",2086.234659,349.1684091,312.492558139535,2033.725,0.561034318,0.438808933920399
"BBNA_174276","griseocollis","Female","Queen",45.5752,-78.5035,2008,184,"Sheila Colla","45.575, -78.504",1653.186705,395.5045455,253.617209302326,1594.035,0.68197964,0.930189135827776
"BBNA_174320","griseocollis","Female","Queen",42.05,-82.583,2005,175,"Sheila Colla","42.05, -82.583",2604.573295,343.5945455,183.507209302326,2769.465,-0.843059768,1.62468297947535
"BBNA_174405","griseocollis","Female","Queen",43.6316,-79.3315,1981,198,"","43.632, -79.332",2486.740909,294.9709091,175.053488372093,2355.665,0.792751984,-0.791666451894497
"BBNA_174890","griseocollis","Male","Male",44.483,-77.683,2006,202,"Sheila Colla","44.483, -77.683",2070.545114,354.0313636,214.38511627907,2104.995,-0.368285246,0.702521104501165
"BBNA_175401","griseocollis","Male","Male",41.7667,-82.65,1993,225,"B.Larson","41.767, -82.65",2704.062955,346.5406818,171.831627906977,2508.555,0.12995747,0.222762837515468
"BBNA_175403","griseocollis","Female","Queen",41.7667,-82.65,1994,132,"B.Larson","41.767, -82.65",2704.062955,346.5406818,171.831627906977,2707.89,-0.544684941,-1.17011608954678
"BBNA_175406","griseocollis","Male","Male",41.7667,-82.65,1996,245,"B.Larson","41.767, -82.65",2704.062955,346.5406818,171.831627906977,2551.345,0.919434709,-1.73660663904309
"BBNA_175565","griseocollis","Female","Queen",43.2522,-81.8603,1992,140,"","43.252, -81.86",2335.788068,348.7815909,207.110697674419,1930.02,1.168029228,0.313170026422714
"BBNA_175590","griseocollis","Female","Queen",43.2522,-81.8603,1986,162,"Packer","43.252, -81.86",2335.788068,348.7815909,207.110697674419,2285.845,2.486036661,0.119010656058044
"BBNA_175604","griseocollis","Male","Male",43.2522,-81.8603,2005,234,"Sheila Colla","43.252, -81.86",2335.788068,348.7815909,207.110697674419,2556.085,-0.379868121,1.63794245745478
"BBNA_175626","griseocollis","Female","Queen",43.2522,-81.8603,1991,159,"J.Skevington","43.252, -81.86",2335.788068,348.7815909,207.110697674419,2547.49,-0.608189226,-0.198404734292854
"BBNA_175641","griseocollis","Female","Queen",43.2522,-81.8603,1995,166,"J.Skevington","43.252, -81.86",2335.788068,348.7815909,207.110697674419,2344.08,-0.871463023,-0.0974558662397742
"BBNA_175644","griseocollis","Male","Male",43.2522,-81.8603,1995,227,"J.Skevington","43.252, -81.86",2335.788068,348.7815909,207.110697674419,2344.08,-0.871463023,-0.0974558662397742
"BBNA_175649","griseocollis","Male","Male",43.2565,-81.829,1981,235,"","43.257, -81.829",2328.688068,350.3825,210.841395348837,2146.12,0.973716038,0.152658460696608
"BBNA_175725","griseocollis","Male","Male",43.2565,-81.829,2009,233,"S.R.Colla","43.257, -81.829",2328.688068,350.3825,210.841395348837,2120.405,-0.603616338,1.24565659437983
"BBNA_175819","griseocollis","Female","Queen",43.2565,-81.829,2009,233,"Sheila Colla","43.257, -81.829",2328.688068,350.3825,210.841395348837,2120.405,-0.603616338,1.24565659437983
"BBNA_175827","griseocollis","Male","Male",43.2565,-81.829,2009,233,"Sheila Colla","43.257, -81.829",2328.688068,350.3825,210.841395348837,2120.405,-0.603616338,1.24565659437983
"BBNA_176090","griseocollis","Female","Queen",43.2339,-81.8899,1996,194,"J.Skevington","43.234, -81.89",2340.681477,352.6786364,205.121162790698,2172.44,2.204492623,-0.652806182820669
"BBNA_176318","griseocollis","Female","Queen",43.9896,-77.7115,2003,167,"","43.99, -77.712",2210.213977,322.285,236.463720930233,2107.45,-0.690137218,-1.96887846179456
"BBNA_176359","griseocollis","Male","Male",41.9667,-82.533,1998,245,"S.A.Marshall","41.967, -82.533",2612.351477,334.9718182,176.402558139535,2958.935,-0.78799998,0.638439142130202
"BBNA_176391","griseocollis","Female","Queen",41.9667,-82.533,1983,180,"S.Marshall, C.Logan & S.Grigsby","41.967, -82.533",2612.351477,334.9718182,176.402558139535,2556.245,0.380940238,-0.510308637503285
"BBNA_176392","griseocollis","Female","Queen",41.9667,-82.533,1983,182,"S.Marshall, C.Logan & S.Grigsby","41.967, -82.533",2612.351477,334.9718182,176.402558139535,2556.245,0.380940238,-0.510308637503285
"BBNA_176395","griseocollis","Female","Queen",41.9667,-82.533,1983,188,"S.Marshall, C.Logan & S.Grigsby","41.967, -82.533",2612.351477,334.9718182,176.402558139535,2556.245,0.380940238,-0.510308637503285
"BBNA_177029","griseocollis","Male","Male",43.75,-80.1167,2005,209,"Sheila Colla","43.75, -80.117",1974.87875,368.4843182,229.247441860465,2182.07,0.163071652,0.481149812093669
"BBNA_177090","griseocollis","Male","Male",43.9667,-79.25,1981,240,"","43.967, -79.25",2154.746364,358.7231818,198.106744186047,1919.765,0.673456264,-0.000878083347330648
"BBNA_177316","griseocollis","Male","Male",43.692,-79.3942,1988,223,"W.Edmonds","43.692, -79.394",2379.354773,324.6552273,191.066511627907,2361.235,-0.896193598,-0.427092981066539
"BBNA_177317","griseocollis","Female","Queen",43.692,-79.3942,1988,223,"W.Edmonds","43.692, -79.394",2379.354773,324.6552273,191.066511627907,2361.235,-0.896193598,-0.427092981066539
"BBNA_177320","griseocollis","Male","Male",43.692,-79.3942,1988,225,"W.Edmonds","43.692, -79.394",2379.354773,324.6552273,191.066511627907,2361.235,-0.896193598,-0.427092981066539
"BBNA_177328","griseocollis","Male","Male",43.692,-79.3942,1992,210,"","43.692, -79.394",2379.354773,324.6552273,191.066511627907,1932.325,1.282907779,-0.819912129652262
"BBNA_177489","griseocollis","Male","Male",43.6893,-79.4184,2007,201,"Sheila Colla","43.689, -79.418",2369.645227,326.7465909,191.61023255814,2549.25,-2.078671386,-0.958603988581457
"BBNA_177624","griseocollis","Female","Queen",43.648,-79.4042,1988,221,"W.Edmonds","43.648, -79.404",2462.002045,300.7870455,174.98023255814,2427.345,-0.689244194,-0.476735162031657
"BBNA_177659","griseocollis","Female","Queen",43.6512,-79.3286,1984,220,"W.Edmonds","43.651, -79.329",2482.755114,296.1938636,176.502325581395,2405.58,-0.818956796,0.392768818490129
"BBNA_177792","griseocollis","Female","Queen",44.4892,-80.0604,2009,208,"S.R.Colla","44.489, -80.06",2147.253295,335.4579545,220.288372093023,1923.085,-0.288036934,0.800520426625222
"BBNA_177855","griseocollis","Male","Male",42.1,-82.45,1993,262,"","42.1, -82.45",2573.508864,331.5268182,179.563255813953,2367.225,-0.25674417,-0.0145787940516545
"BBNA_177920","griseocollis","Female","Queen",46.3897,-81.473,1992,160,"S.Hughson","46.39, -81.473",1786.991477,319.6959091,184.711395348837,1428.24,0.909322283,1.12441858603269
"BBNA_210296","griseocollis","Male","Male",39.918059,-86.185983,2009,213,"Liz Day and Greg Page ","39.918, -86.186",3010.405568,411.3386364,218.006279069767,2821.235,-0.180636802,0.860087862849271
"BBNA_210297","griseocollis","Female","Queen",39.918059,-86.185983,2009,213,"Liz Day and Greg Page ","39.918, -86.186",3010.405568,411.3386364,218.006279069767,2821.235,-0.180636802,0.860087862849271
"BBNA_210602","griseocollis","Male","Male",45.5233676,-73.1668854,2011,214,"K. Martins","45.523, -73.167",2168.760341,413.5493182,228.369069767442,2367.4,1.181504422,-0.169003054964003
"BBNA_210737","griseocollis","Male","Male",45.5223152,-73.1625938,2011,224,"K. Martins","45.522, -73.163",2168.760341,413.5493182,228.369069767442,2367.4,1.181504422,-0.169003054964003
"BBNA_210793","griseocollis","Male","Male",45.577793,-73.1622934,2011,221,"K. Martins","45.578, -73.162",2158.112045,411.7313636,228.45023255814,2352.925,1.235187889,-0.0299556084436706
"BBNA_210801","griseocollis","Male","Male",45.577793,-73.1622934,2011,222,"K. Martins","45.578, -73.162",2158.112045,411.7313636,228.45023255814,2352.925,1.235187889,-0.0299556084436706
"BBNA_210881","griseocollis","Female","Queen",45.5365642,-73.1436256,2011,143,"K. Martins","45.537, -73.144",2085.541477,464.3145455,266.377906976744,2278.635,1.260097489,-0.504360585617422
"BBNA_210949","griseocollis","Male","Male",45.5350324,-73.1428528,2011,224,"K. Martins","45.535, -73.143",2085.541477,464.3145455,266.377906976744,2278.635,1.260097489,-0.504360585617422
"BBNA_211035","griseocollis","Female","Queen",45.5342338,-73.1279335,2011,141,"K. Martins","45.534, -73.128",2167.961136,412.1927273,227.024651162791,2369.335,1.268019955,-0.156988669145727
"BBNA_211064","griseocollis","Male","Male",45.4769847,-73.0902386,2011,216,"K. Martins","45.477, -73.09",2165.636136,421.7140909,231.32488372093,2375.69,1.314585046,-0.23016867077638
"BBNA_211089","griseocollis","Female","Queen",45.3995484,-73.04028,2011,142,"K. Martins","45.4, -73.04",2177.078636,425.4654545,230.209534883721,2393.005,1.414798781,-0.0346661029375251
"BBNA_211132","griseocollis","Female","Queen",45.2934865,-72.9675007,2011,141,"K. Martins","45.293, -72.968",2168.877273,438.1109091,233.483023255814,2374.37,1.426539093,0.346420468439323
"BBNA_211176","griseocollis","Male","Male",45.2992826,-72.966814,2011,215,"K. Martins","45.299, -72.967",2168.877273,438.1109091,233.483023255814,2374.37,1.426539093,0.346420468439323
