"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_3160423","impatiens","Male","Male",33.762553,-84.297459,2022,288,"James Kindt","33.763, -84.297",4284.998182,472.7429545,377.829302325581,4468.245,-0.254560132,0.379419492446393
"BBNA_3160533","impatiens","Male","Male",43.808276,-72.210544,2013,269,"tapaculo99","43.808, -72.211",2037.694545,420.7620455,224.730930232558,2112.64,1.521048384,0.0562731054204473
"BBNA_3160837","impatiens","Male","Male",45.143225,-93.369317,2022,285,"Brett Ortler","45.143, -93.369",2446.311591,440.1693182,75.2753488372093,2488.365,-1.784686296,0.0058308137140283
"BBNA_3161057","impatiens","Male","Male",45.584945,-89.396352,2023,246,"trillseek024","45.585, -89.396",1824.423636,419.5988636,95.2911627906977,1938.3,-1.229101148,1.20150777733555
"BBNA_3161262","impatiens","Male","Male",45.038808,-93.138943,2022,221,"xuxal","45.039, -93.139",2466.914773,445.2945455,77.5783720930233,2464.91,-2.00224714,0.366941754454631
"BBNA_3161311","impatiens","Male","Male",45.541357,-94.151628,2018,260,"dleaon1","45.541, -94.152",2301.303636,397.1788636,58.4374418604651,2255.285,0.113550772,-0.529535893088355
"BBNA_3161859","impatiens","Male","Male",36.387401,-82.110499,2023,285,"Jill Peters","36.387, -82.11",3237.210909,440.5725,300.086046511628,3321.235,0.395662144,-0.0633330147491126
"BBNA_3161965","impatiens","Male","Male",39.015714,-76.848013,2020,257,"bruzzone","39.016, -76.848",3531.143068,441.1952273,242.610697674419,3687.59,1.572262437,0.291428731171589
"BBNA_3161984","impatiens","Male","Male",44.8997,-93.475051,2022,212,"Heather Holm","44.9, -93.475",2457.855114,437.8659091,76.7367441860465,2520.43,-2.530462162,-0.00993775320741503
"BBNA_3162168","impatiens","Male","Male",46.719036,-92.195958,2023,262,"lotusdogg","46.719, -92.196",1873.225795,394.1095455,77.7395348837209,2015.62,-0.859171252,2.6153664460631
